month,cosine_distance_baseline,intra_month_spread,n_headlines,corpus
2016-01,0.2247877472509514,0.022862132479806833,20374,comparison
2016-02,0.248411174040036,0.0224068922486196,19871,comparison
2016-03,0.24609467854374478,0.022253750969896253,22387,comparison
2016-04,0.24875291338981265,0.022254887469472965,39579,comparison
2016-05,0.2255003158605643,0.02227142808821695,54565,comparison
2016-06,0.25068036916736913,0.022033186197937718,21051,comparison
2016-07,0.2851311976855273,0.021934738667847727,19132,comparison
2016-08,0.2510064244015209,0.022031234827745147,18891,comparison
2016-09,0.23965804075840702,0.023157376831233152,19248,comparison
2016-10,0.29089401722929376,0.02283034538143129,23732,comparison
2016-11,0.3240535551195507,0.0225662707690392,24431,comparison
2016-12,0.2753261470298981,0.022463349306535804,44649,comparison
2017-01,0.35022005618744534,0.02186655274144699,58168,comparison
2017-02,0.34645934605229045,0.02266480013598974,22318,comparison
2017-03,0.2799205215705518,0.02202767420531307,22824,comparison
2017-04,0.303913056449576,0.02156797753297045,19653,comparison
2017-05,0.2842903137224122,0.022339161072644664,23087,comparison
2017-06,0.2891449862361345,0.022184492571417476,19900,comparison
2017-07,0.28666279493717584,0.02252253709831881,14530,comparison
2017-08,0.34206589844069135,0.022639971825351365,13074,comparison
2017-09,0.31776643114429715,0.022058937859854116,28893,comparison
2017-10,0.3110318026046093,0.022583951110468157,19197,comparison
2017-11,0.27866457644867393,0.022648864687030708,18165,comparison
2017-12,0.28326110521538406,0.023011102167291513,16759,comparison
2018-01,0.3043643147333447,0.022597178839206544,18344,comparison
2018-02,0.26761388327686675,0.02256546559015735,16536,comparison
2018-03,0.2750107013037424,0.022421272742661348,22700,comparison
2018-04,0.28133266621473285,0.02258313323312457,18213,comparison
2018-05,0.2917010936494001,0.022834783609325494,18431,comparison
2018-06,0.32807615207268226,0.022875281655465665,17304,comparison
2018-07,0.34385370919012825,0.022416123974007857,15829,comparison
2018-08,0.3240547421369335,0.023332697009032535,18244,comparison
2018-09,0.2765528132891788,0.022935141616502838,15865,comparison
2018-10,0.2871888264000688,0.02242530288286261,17646,comparison
2018-11,0.2882767115368534,0.022783277440199794,16546,comparison
2018-12,0.2870686156276576,0.022479764927229934,15291,comparison
2019-01,0.3259392646763797,0.022542024177291235,16510,comparison
2019-02,0.3024759570476264,0.02279912780542487,16763,comparison
2019-03,0.2769931743175682,0.02264626715966729,19291,comparison
2019-04,0.30190915374266836,0.022165262606989034,19354,comparison
2019-05,0.3256038720940866,0.02212955028298393,20311,comparison
2019-06,0.352324215671994,0.022281091612979045,17917,comparison
2019-07,0.3613263694330635,0.022784371283416056,16149,comparison
2019-08,0.3663404470646934,0.022398639878493505,15451,comparison
2019-09,0.3940961502015313,0.02231950317393928,15794,comparison
2019-10,0.41843331880471957,0.022512812576715446,17888,comparison
2019-11,0.40985010093344243,0.022707389306773167,15969,comparison
2019-12,0.426068776799154,0.022583516264579936,15202,comparison
2020-01,0.4721219640865777,0.02211497117852963,17186,comparison
2020-02,0.43379568042962535,0.022723969308846924,15906,comparison
2020-03,0.3796293531609578,0.023580113245863205,18589,comparison
2020-04,0.3811557407560562,0.023914573649663345,18338,comparison
2020-05,0.36031294597672403,0.023268035303786492,17166,comparison
2020-06,0.4355017773242813,0.022584492018303978,17348,comparison
2020-07,0.3798482362584177,0.023108602112110046,16995,comparison
2020-08,0.462014379425675,0.02216103184950618,17160,comparison
2020-09,0.45227623689129004,0.022539300037236424,16856,comparison
2020-10,0.5161793220536046,0.022339340446770897,17999,comparison
2020-11,0.5585456668107217,0.02233437628454671,16326,comparison
2020-12,0.453351416037002,0.022797609480168336,15549,comparison
2021-01,0.6336059747140504,0.023306051044493094,18610,comparison
2021-02,0.4117592138527296,0.02226698871814659,15087,comparison
2021-03,0.36828175247636485,0.022110952976109013,17431,comparison
2021-04,0.3413735430611554,0.022592903046327394,16551,comparison
2021-05,0.3013544318720902,0.022606702843679882,15644,comparison
2021-06,0.3116374852763164,0.02296247864472403,15790,comparison
2021-07,0.3364619153500229,0.02191970410515717,15538,comparison
2021-08,0.43503572646179767,0.021562784103921595,15284,comparison
2021-09,0.3319434867672506,0.022348891556176163,15516,comparison
2021-10,0.3087036305083455,0.021603404831019073,15365,comparison
2021-11,0.3035285050050034,0.02252662142074431,14693,comparison
2021-12,0.3244072483535698,0.02294010828059757,14310,comparison
2022-01,0.33872507954221054,0.022585618866560804,14870,comparison
2022-02,0.41968609117598255,0.022137882000538407,14177,comparison
2022-03,0.507174371688623,0.02169471658823797,15542,comparison
2022-04,0.35628092503377695,0.02217966749287111,14368,comparison
2022-05,0.37137800568291846,0.022038737400462336,15084,comparison
2022-06,0.36607715672539753,0.022029075459104718,15315,comparison
2022-07,0.30626629367005986,0.022301193117080016,14451,comparison
2022-08,0.323746371075764,0.022524844711924612,16725,comparison
2022-09,0.2863288905347453,0.022040781767274874,16465,comparison
2022-10,0.2591403692366494,0.02236951796885519,15953,comparison
2022-11,0.3997403012164551,0.022357894220405128,16668,comparison
2022-12,0.25337358074220795,0.022105104720587323,14296,comparison
2023-01,0.2837843245714218,0.02300455231796878,16128,comparison
2023-02,0.2833379705333354,0.02213264457602158,15389,comparison
2023-03,0.572627734861522,0.02146958100239394,19329,comparison
2023-04,0.2605644150113855,0.021955731566462397,15683,comparison
2023-05,0.2647377775166371,0.022101492201199044,16243,comparison
2023-06,0.2741159713288177,0.02183855716066953,14754,comparison
2023-07,0.2619972908064956,0.021620692417425185,14181,comparison
2023-08,0.28958850869087827,0.021805460035364006,15032,comparison
2023-09,0.2681181011790319,0.0219312139306799,13938,comparison
2023-10,0.3576235231586461,0.0219278891838597,14034,comparison
2023-11,0.289577348822057,0.021998417122090084,13690,comparison
2023-12,0.28884458219278564,0.021925104737120973,12944,comparison
2024-01,0.31683233793042076,0.02255772563074547,14287,comparison
2024-02,0.33498840792076146,0.021890535280155096,14011,comparison
2024-03,0.329331771481006,0.021507624082963923,14734,comparison
2024-04,0.330534463686854,0.02184105972623462,14167,comparison
2024-05,0.3604288069787406,0.021691940878757848,14522,comparison
2024-06,0.3722859554790885,0.02194108296542373,12841,comparison
2024-07,0.5173571882083758,0.02101571210021749,13276,comparison
2024-08,0.461276209171005,0.021062774227936707,13119,comparison
2024-09,0.4341977162328927,0.0217489483560045,12820,comparison
2024-10,0.44719386151177354,0.022067465344901224,14127,comparison
2024-11,0.551706367568377,0.022103942567649918,13332,comparison
2024-12,0.37361899350629146,0.022053816729438604,11910,comparison
